*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	TJ41C3_pm1_v2.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  45 |  3774 | -2.16 |  461.30 |     0 |     0 |     0 |  -73.95 |    0.00 |    0.00 |     0 | 0.00 || -0.17975 -0.61970 1.90953 1.33291 -1.78271 -25.88826
  46 |  3768 | -2.32 |  473.00 |     0 |     0 |     0 | -193.40 |    0.00 |    0.00 |     0 | 0.00 || -2.70025 -0.18967 -2.32442 -21.68343 -8.76399 13.92561
  47 |  3768 | -2.47 |  476.00 |     0 |     0 |     0 | -129.88 |    0.00 |    0.00 |     0 | 0.00 || -2.47705 0.66358 -0.40803 -16.65351 -17.30805 9.42436
  48 |  3762 | -2.36 |  479.20 |     0 |     0 |     0 | -175.42 |    0.00 |    0.00 |     0 | 0.00 || -2.79089 0.06010 -1.04467 -15.25714 5.12972 15.51598
  49 |  3760 | -2.18 |  449.50 |     0 |     0 |     0 |   -2.99 |    0.00 |    0.00 |     0 | 0.00 || -2.37810 -0.23755 -1.79024 -22.11766 -14.00290 -7.65454
  50 |  3758 | -2.52 |  510.80 |     0 |     0 |     0 |  -67.59 |    0.00 |    0.00 |     0 | 0.00 || 1.99475 1.31267 -1.46878 21.82680 10.58147 3.52764
  51 |  3744 | -2.18 |  451.50 |     0 |     0 |     0 | -157.35 |    0.00 |    0.00 |     0 | 0.00 || 0.41357 -0.45973 -1.45867 8.77474 17.49146 -3.39593
  52 |  3744 | -2.27 |  458.10 |     0 |     0 |     0 | -117.25 |    0.00 |    0.00 |     0 | 0.00 || -2.93446 0.50279 1.70019 2.76351 -17.02067 6.67364
  53 |  3742 | -2.12 |  476.10 |     0 |     0 |     0 | -165.78 |    0.00 |    0.00 |     0 | 0.00 || -1.08326 -0.93568 -1.37451 -25.65148 -7.08386 -15.07033
  54 |  3738 | -2.58 |  465.60 |     0 |     0 |     0 | -179.36 |    0.00 |    0.00 |     0 | 0.00 || -0.56479 -0.13316 -1.85556 -15.91767 -12.55327 -23.47941
  55 |  3736 | -2.15 |  444.30 |     0 |     0 |     0 | -153.78 |    0.00 |    0.00 |     0 | 0.00 || 1.79388 -1.35549 0.85502 -16.74989 34.66190 -8.99508
  56 |  3736 | -2.20 |  425.90 |     0 |     0 |     0 | -138.67 |    0.00 |    0.00 |     0 | 0.00 || 2.26925 1.07076 3.06639 27.75309 -15.16661 6.55542
  57 |  3736 | -1.67 |  428.20 |     0 |     0 |     0 |   64.26 |    0.00 |    0.00 |     0 | 0.00 || 1.31630 1.44450 -2.38804 12.81944 -17.11317 -9.17154
  58 |  3730 | -1.96 |  420.60 |     0 |     0 |     0 | -134.98 |    0.00 |    0.00 |     0 | 0.00 || -0.41109 -1.20072 1.78357 -0.91743 -26.11889 4.67432
  59 |  3730 | -2.66 |  448.70 |     0 |     0 |     0 | -162.45 |    0.00 |    0.00 |     0 | 0.00 || 2.09110 0.52900 -0.48840 17.70796 12.33675 29.24680
  60 |  3730 | -2.21 |  432.70 |     0 |     0 |     0 |  -11.53 |    0.00 |    0.00 |     0 | 0.00 || -3.03875 0.82583 -1.71244 -7.61184 2.70232 -0.86749
  61 |  3730 | -1.56 |  424.50 |     0 |     0 |     0 | -120.77 |    0.00 |    0.00 |     0 | 0.00 || 2.18098 0.55900 2.96215 18.26029 -16.35833 8.66230
  62 |  3730 | -1.61 |  422.60 |     0 |     0 |     0 |  -91.59 |    0.00 |    0.00 |     0 | 0.00 || -2.15850 -0.88475 -2.55971 -2.95699 11.89162 -9.46394
