*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C4.7.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
  54 |  2766 | -2.44 |  326.50 |     0 |     0 |     0 |  -33.60 |    0.00 |    0.00 |     0 | 0.00 || 2.96834 -0.51686 2.45714 8.51592 -9.45278 20.22892
  55 |  2762 | -2.41 |  334.70 |     0 |     0 |     0 |  -19.31 |    0.00 |    0.00 |     0 | 0.00 || -2.59157 -0.38922 -1.29391 6.22360 -34.40040 16.98327
  56 |  2756 | -1.47 |  292.60 |     0 |     0 |     0 |  -29.53 |    0.00 |    0.00 |     0 | 0.00 || 1.67669 -1.04410 -1.17183 7.12989 17.44397 -1.68415
  57 |  2752 | -2.42 |  331.60 |     0 |     0 |     0 |  -61.80 |    0.00 |    0.00 |     0 | 0.00 || 1.00670 1.29045 2.28143 -36.87541 -22.69101 3.54548
  58 |  2752 | -1.56 |  301.00 |     0 |     0 |     0 |  -40.74 |    0.00 |    0.00 |     0 | 0.00 || 1.70823 -0.87185 2.19977 -5.89367 -21.78462 0.72516
  59 |  2752 | -2.26 |  311.20 |     0 |     0 |     0 |  -21.05 |    0.00 |    0.00 |     0 | 0.00 || 0.41614 -0.26208 1.81191 5.97043 -21.80081 -15.43279
  60 |  2748 | -1.44 |  293.50 |     0 |     0 |     0 |  -11.13 |    0.00 |    0.00 |     0 | 0.00 || 0.63673 0.42335 -0.38252 34.20279 26.98730 -10.65816
  61 |  2746 | -2.38 |  336.80 |     0 |     0 |     0 |   -4.73 |    0.00 |    0.00 |     0 | 0.00 || -2.97334 -0.52113 -0.25626 32.44143 6.59451 18.63537
  62 |  2746 | -1.38 |  301.30 |     0 |     0 |     0 |  -46.81 |    0.00 |    0.00 |     0 | 0.00 || 0.27143 1.18284 1.01243 19.62459 37.91739 -2.13795
  63 |  2746 | -2.02 |  321.80 |     0 |     0 |     0 |  -40.29 |    0.00 |    0.00 |     0 | 0.00 || 1.24325 -0.72943 0.44413 8.28364 4.04048 -4.78989
  64 |  2744 | -2.01 |  308.00 |     0 |     0 |     0 |   13.68 |    0.00 |    0.00 |     0 | 0.00 || -0.61080 -0.48222 -0.86285 10.21852 15.36738 -17.02640
  65 |  2742 | -1.54 |  291.30 |     0 |     0 |     0 |  -45.15 |    0.00 |    0.00 |     0 | 0.00 || 2.42553 0.96060 -1.44703 25.48075 -1.98291 14.60593
  66 |  2740 | -1.73 |  303.60 |     0 |     0 |     0 |  -42.47 |    0.00 |    0.00 |     0 | 0.00 || 1.71558 -0.47075 -1.20679 3.89069 18.84797 6.67675
  67 |  2740 | -2.26 |  348.90 |     0 |     0 |     0 |  -92.68 |    0.00 |    0.00 |     0 | 0.00 || 2.01223 -1.14677 -1.93214 -5.25648 -2.00349 4.20731
  68 |  2736 | -1.87 |  333.10 |     0 |     0 |     0 |   53.95 |    0.00 |    0.00 |     0 | 0.00 || -1.37517 0.28356 -1.17962 -14.93934 -21.63580 11.28251
  69 |  2734 | -2.18 |  357.80 |     0 |     0 |     0 |   42.99 |    0.00 |    0.00 |     0 | 0.00 || -0.44146 0.11846 -0.78384 -0.15761 -1.29784 -3.06791
  70 |  2732 | -2.26 |  365.50 |     0 |     0 |     0 |   -1.53 |    0.00 |    0.00 |     0 | 0.00 || -2.67086 0.03092 -3.00808 -15.21423 10.29088 34.77383
  71 |  2732 | -1.47 |  300.90 |     0 |     0 |     0 |  -43.36 |    0.00 |    0.00 |     0 | 0.00 || 1.63756 -0.85238 -2.58990 22.20674 -5.67277 0.78961
  72 |  2728 | -1.73 |  305.60 |     0 |     0 |     0 |  -41.38 |    0.00 |    0.00 |     0 | 0.00 || -2.85501 0.07450 -2.63193 -25.48831 -8.88021 20.93602
  73 |  2726 | -1.72 |  309.50 |     0 |     0 |     0 |  -44.06 |    0.00 |    0.00 |     0 | 0.00 || -2.94974 0.01096 -1.15153 10.73238 -25.20878 21.95345
  74 |  2726 | -2.17 |  307.00 |     0 |     0 |     0 |  -21.81 |    0.00 |    0.00 |     0 | 0.00 || -0.23138 0.45052 2.62310 -30.56910 27.36721 -13.95116
  75 |  2724 | -2.25 |  343.30 |     0 |     0 |     0 |  -13.47 |    0.00 |    0.00 |     0 | 0.00 || 2.03695 -1.05814 -0.31869 1.98959 -6.09287 4.58818
  76 |  2718 | -1.72 |  296.00 |     0 |     0 |     0 |  -18.60 |    0.00 |    0.00 |     0 | 0.00 || 1.58540 0.37401 1.14145 -1.47446 -8.63669 7.61638
  77 |  2716 | -2.17 |  324.60 |     0 |     0 |     0 |  -44.22 |    0.00 |    0.00 |     0 | 0.00 || -0.13024 0.99354 1.53317 18.97552 39.95490 -3.15337
  78 |  2712 | -1.43 |  288.80 |     0 |     0 |     0 |   -6.11 |    0.00 |    0.00 |     0 | 0.00 || 0.63833 0.41793 -1.91190 27.76079 -33.98914 -10.70688
  79 |  2712 | -2.56 |  321.20 |     0 |     0 |     0 |  -14.03 |    0.00 |    0.00 |     0 | 0.00 || -2.14657 0.50223 -1.99190 -35.62432 27.65540 12.53804
  80 |  2710 | -1.47 |  299.90 |     0 |     0 |     0 |  -43.36 |    0.00 |    0.00 |     0 | 0.00 || 1.63809 -0.85349 0.55026 -22.17239 5.68332 0.79068
  81 |  2708 | -2.59 |  330.20 |     0 |     0 |     0 |  -44.32 |    0.00 |    0.00 |     0 | 0.00 || 0.76416 1.11209 -0.52056 36.36844 25.17771 -0.19462
  82 |  2708 | -2.64 |  319.60 |     0 |     0 |     0 |  -14.03 |    0.00 |    0.00 |     0 | 0.00 || -2.14872 0.50138 2.72131 27.64856 35.61259 12.57904
  83 |  2706 | -2.36 |  336.10 |     0 |     0 |     0 |  -87.47 |    0.00 |    0.00 |     0 | 0.00 || -3.07037 -0.27774 1.82188 -14.45892 29.81499 23.06486
  84 |  2704 | -2.01 |  310.80 |     0 |     0 |     0 |  -83.56 |    0.00 |    0.00 |     0 | 0.00 || 0.49929 -0.82178 -0.42296 -17.87218 32.91072 -14.59671
  85 |  2704 | -2.13 |  324.70 |     0 |     0 |     0 |  -43.26 |    0.00 |    0.00 |     0 | 0.00 || -0.12751 0.99211 3.10189 -39.94315 18.95706 -3.18687
  86 |  2702 | -1.29 |  295.90 |     0 |     0 |     0 |   12.61 |    0.00 |    0.00 |     0 | 0.00 || -0.50559 0.04679 -1.27449 -23.53652 11.70638 -17.39454
  87 |  2698 | -1.11 |  288.20 |     0 |     0 |     0 |  -16.11 |    0.00 |    0.00 |     0 | 0.00 || 3.08221 0.16945 -2.01315 -19.60394 -16.55156 22.54344
  88 |  2698 | -2.39 |  314.00 |     0 |     0 |     0 |  -69.17 |    0.00 |    0.00 |     0 | 0.00 || -2.12255 -0.09528 0.35093 29.05788 -0.66843 9.18159
