*********************************************************
Program parameters

baseParams	(Str)	1.0 10.0 1
clusterParams	(Str)	0.05 2 1.0 2.0
desolvationParams	(Str)	500.0 1.0
ligandGrid	(Str)	0.35 6.0 3.0
ligandMs	(Str)	20.0 1.4
ligandPdb	(Str)	BPA_0001.fa.pdb
ligandSeg	(Str)	5.0 15.0 0.1 1 1 1 5
log-file	(Str)	patch_dock.log
log-level	(Str)	2
matchAlgorithm	(Str)	1
matchingParams	(Str)	2.0 1.0 0.4 0.5 0.9
protLib	(Str)	/gpfs/DS3524-1/WORK/greisen/ExternalProgram/patchdock/PatchDock/chem.lib
receptorGrid	(Str)	0.5 6.0 6.0
receptorMs	(Str)	10.0 1.8
receptorPdb	(Str)	ank1C2_G3.pdb
receptorSeg	(Str)	10.0 20.0 0.5 0 0 1 5
scoreParams	(Str)	0.3 -4.0 0.4 0.0 0.0 200 -4 -2 0 1 0

*********************************************************

   # | score | pen.  | Area    | as1   | as2   | as12  | ACE     | hydroph | Energy  |cluster| dist. || Ligand Transformation
 120 |  2712 | -2.77 |  404.00 |     0 |     0 |     0 |   62.22 |    0.00 |    0.00 |     0 | 0.00 || -1.84041 -0.04810 -0.29211 -17.63367 -15.83515 3.45015
 121 |  2706 | -2.76 |  362.80 |     0 |     0 |     0 |  100.54 |    0.00 |    0.00 |     0 | 0.00 || -2.20803 -0.57178 0.18803 -4.22464 -10.90368 8.64487
 122 |  2702 | -2.58 |  414.70 |     0 |     0 |     0 |  -13.22 |    0.00 |    0.00 |     0 | 0.00 || 1.42597 -0.01789 1.74969 -7.98067 -6.11958 1.08403
 123 |  2698 | -3.59 |  433.50 |     0 |     0 |     0 |  -91.51 |    0.00 |    0.00 |     0 | 0.00 || -1.47819 -0.03032 -2.84833 -24.26828 24.21039 -7.09127
 124 |  2696 | -2.62 |  420.70 |     0 |     0 |     0 |    0.36 |    0.00 |    0.00 |     0 | 0.00 || 1.96854 1.21838 -1.93088 7.34625 8.60998 10.10121
 125 |  2696 | -3.07 |  416.00 |     0 |     0 |     0 |   28.26 |    0.00 |    0.00 |     0 | 0.00 || -1.27954 0.75222 -2.99330 -27.02669 24.25159 -1.10995
 126 |  2694 | -3.32 |  414.40 |     0 |     0 |     0 |  -18.88 |    0.00 |    0.00 |     0 | 0.00 || -0.30509 -0.16807 3.03657 -15.65965 10.31708 -23.29772
 127 |  2690 | -2.84 |  410.70 |     0 |     0 |     0 |  -13.76 |    0.00 |    0.00 |     0 | 0.00 || 2.02445 0.31430 -0.35969 -8.58963 23.07897 12.62471
 128 |  2684 | -2.60 |  425.10 |     0 |     0 |     0 |   -9.92 |    0.00 |    0.00 |     0 | 0.00 || 2.30262 0.71459 -1.09574 -4.89895 18.59295 17.24344
 129 |  2684 | -2.91 |  434.60 |     0 |     0 |     0 |  -29.72 |    0.00 |    0.00 |     0 | 0.00 || -0.59217 -1.03240 2.48019 29.49846 -7.56045 -11.82685
